Title;Year;Rotten Tomatoes;Hulu
Ginny & Georgia;2021;75;Não tem
The Spy;2019;75;Não tem
On My Block;2018;75;Não tem
The Movies That Made Us;2019;75;Não tem
Chef's Table;2015;75;Não tem
Biohackers;2020;75;Não tem
The Seven Deadly Sins;2014;75;Não tem
The Keepers;2017;75;Não tem
F is for Family;2015;74;Não tem
The Midnight Gospel;2020;74;Não tem
Ragnarok;2020;74;Não tem
Legacies;2018;74;Não tem
The Order;2019;74;Não tem
Disenchantment;2018;74;Não tem
Dead Set;2008;74;Não tem
Dirty Money;2018;74;Não tem
The Staircase;2005;74;Não tem
Soul Eater;2008;74;Tem
Into the Night;2020;74;Não tem
Julie and the Phantoms;2020;74;Não tem
Leyla ile Mecnun;2011;74;Não tem
Living with Yourself;2019;74;Não tem
Hilda;2018;74;Não tem
The Mechanism;2018;74;Não tem
ERASED;2016;74;Tem
Formula 1: Drive to Survive;2019;74;Não tem
Don't F**k with Cats: Hunting an Internet Killer;2019;74;Não tem
Kim's Convenience;2016;73;Não tem
The Society;2019;73;Não tem
Imposters;2017;73;Não tem
Frequency;2016;73;Não tem
Wentworth;2013;73;Não tem
Marvel's Iron Fist;2017;73;Não tem
Bleach;2004;73;Tem
Quantico;2015;73;Não tem
Shooter;2016;73;Não tem
PokÃ©mon;1997;73;Tem
Hollywood;2020;73;Não tem
Madam Secretary;2014;73;Não tem
Last Tango in Halifax;2012;73;Não tem
Safe;2018;73;Tem
Resurrection: Ertugrul;2014;73;Não tem
Versailles;2015;73;Não tem
Sex/Life;2021;73;Não tem
Fullmetal Alchemist;2003;73;Não tem
Marianne;2019;73;Não tem
Five Came Back;2017;73;Não tem
Miraculous: Tales of Ladybug & Cat Noir;2015;73;Não tem
Abstract: The Art of Design;2017;73;Não tem
Teenage Bounty Hunters;2020;72;Não tem
Documentary Now!;2015;72;Não tem
Special;2019;72;Não tem
JoJo's Bizarre Adventure;2012;72;Tem
Manhunt;2017;72;Não tem
Your Lie in April;2014;72;Tem
Code Geass: Lelouch of the Rebellion;2006;72;Não tem
Middleditch & Schwartz;2020;72;Não tem
Zoo;2015;72;Não tem
Jupiters Legacy;2021;72;Não tem
Ratched;2020;72;Não tem
Babylon Berlin;2017;72;Não tem
Everything Sucks!;2018;72;Não tem
Evil Genius;2018;72;Não tem
Doctor Foster;2015;72;Não tem
Marcella;2016;72;Não tem
Survivor;2000;72;Tem
Derek;2013;72;Não tem
0,03;2016;72;Não tem
Tuca & Bertie;2019;72;Não tem
Parasyte -the maxim-;2014;72;Tem
Last Chance U;2016;71;Não tem
Trailer Park Boys;2001;71;Não tem
Black Lightning;2018;71;Não tem
Chicago Med;2015;71;Tem
How to Sell Drugs Online (Fast);2019;71;Não tem
Secret City;2016;71;Não tem
Dynasty;2017;71;Não tem
Dracula;2020;71;Não tem
Space Force;2020;71;Não tem
Pretend It's a City;2021;71;Não tem
Masters of the Universe: Revelation;2021;71;Não tem
iCarly;2007;71;Não tem
Who Killed Sara?;2021;71;Não tem
Sword Art Online;2012;71;Tem
Paranormal;2020;71;Não tem
Frontier;2016;71;Não tem
The Politician;2019;71;Não tem
Raising Dion;2019;71;Não tem
Food Wars! Shokugeki no Soma;2015;71;Tem
Crash Landing on You;2019;71;Não tem
Seven Seconds;2018;71;Não tem
