Title;Year;Age;IMDb;Rotten Tomatoes;Netflix;Hulu;Prime Video;Disney+
The Unicorn;2019;7+;7,2;67;Tem;Tem;Não tem;Não tem
Anohana: The Flower We Saw That Day;2011;16+;8,2;67;Tem;Não tem;Não tem;Não tem
The Challenge;1998;16+;7,7;67;Tem;Tem;Tem;Não tem
Gypsy;2017;18+;6,8;67;Tem;Não tem;Não tem;Não tem
Fuller House;2016;7+;6,7;67;Tem;Não tem;Não tem;Não tem
Killer Inside: The Mind of Aaron Hernandez;2020;18+;7,4;67;Tem;Não tem;Não tem;Não tem
RESIDENT EVIL: Infinite Darkness;2021;18+;5,8;67;Tem;Não tem;Não tem;Não tem
1983;2018;18+;6,8;67;Tem;Não tem;Não tem;Não tem
Wet Hot American Summer: First Day of Camp;2015;16+;7,4;67;Tem;Não tem;Não tem;Não tem
The Baker and the Beauty;2020;16+;7,4;67;Tem;Não tem;Tem;Não tem
Spinning Out;2020;18+;7,6;67;Tem;Não tem;Não tem;Não tem
Trinkets;2019;18+;7,1;67;Tem;Não tem;Não tem;Não tem
Insatiable;2018;18+;6,5;67;Tem;Não tem;Não tem;Não tem
The Chalet;2018;18+;7;67;Tem;Não tem;Não tem;Não tem
We Bare Bears;2015;7+;7,9;67;Tem;Tem;Não tem;Não tem
Gurren Lagann;2007;16+;8,3;66;Tem;Não tem;Não tem;Não tem
Friends from College;2017;18+;6,9;66;Tem;Não tem;Não tem;Não tem
Jericho;2006;16+;7,3;66;Tem;Não tem;Não tem;Não tem
Tidelands;2018;18+;7;66;Tem;Não tem;Não tem;Não tem
Dear White People;2017;18+;6,2;66;Tem;Tem;Não tem;Não tem
Dare Me;2019;18+;6,7;66;Tem;Não tem;Não tem;Não tem
Ouran High School Host Club;2006;16+;8,2;66;Tem;Tem;Não tem;Não tem
Scooby-Doo! Mystery Incorporated;2010;7+;8;66;Tem;Não tem;Não tem;Não tem
The Untamed;2019;16+;9;66;Tem;Não tem;Não tem;Não tem
Stranger;2017;18+;8,6;66;Tem;Não tem;Não tem;Não tem
El Chapo;2017;18+;7,8;66;Tem;Não tem;Não tem;Não tem
Great News;2017;7+;7;66;Tem;Não tem;Não tem;Não tem
The Get Down;2016;16+;8,3;66;Tem;Não tem;Não tem;Não tem
The Naked Director;2019;18+;7,7;66;Tem;Não tem;Não tem;Não tem
Rise of Empires: Ottoman;2020;18+;7,9;66;Tem;Não tem;Não tem;Não tem
Club de Cuervos;2015;18+;8,2;66;Tem;Não tem;Não tem;Não tem
Toradora!;2008;16+;8;66;Tem;Não tem;Tem;Não tem
The Baby-Sitters Club;2020;7+;7,4;66;Tem;Não tem;Tem;Não tem
Carole & Tuesday;2019;7+;7,9;66;Tem;Não tem;Não tem;Não tem
Van Helsing;2016;16+;6,2;66;Tem;Não tem;Não tem;Não tem
The Night Shift;2014;16+;7,4;66;Tem;Não tem;Não tem;Não tem
Pablo Escobar, The Drug Lord;2012;18+;8,5;66;Tem;Não tem;Não tem;Não tem
No Game No Life;2014;16+;7,8;66;Tem;Não tem;Não tem;Não tem
The King: Eternal Monarch;2020;16+;8,3;66;Tem;Não tem;Não tem;Não tem
Eden;2021;7+;6,7;65;Tem;Não tem;Tem;Não tem
Stateless;2020;16+;7,6;65;Tem;Não tem;Não tem;Não tem
High Score;2020;16+;7,4;65;Tem;Não tem;Não tem;Não tem
Dash & Lily;2020;7+;8;65;Tem;Não tem;Não tem;Não tem
The Confession Tapes;2017;16+;7,5;65;Tem;Não tem;Não tem;Não tem
Black Butler;2008;18+;7,8;65;Tem;Tem;Não tem;Não tem
The Rain;2018;18+;6,3;65;Tem;Não tem;Não tem;Não tem
Love Is Blind;2020;18+;6,1;65;Tem;Não tem;Tem;Não tem
Trial by Media;2020;16+;7,2;65;Tem;Não tem;Não tem;Não tem
Wormwood;2017;16+;7;65;Tem;Não tem;Não tem;Não tem
Fear City: New York vs The Mafia;2020;18+;7,1;65;Tem;Não tem;Não tem;Não tem
Sorjonen;2016;18+;7,6;65;Tem;Não tem;Não tem;Não tem
Forged in Fire;2015;7+;8,4;65;Tem;Tem;Tem;Não tem
Baby;2018;18+;6,8;65;Tem;Não tem;Não tem;Não tem
The Disastrous Life of Saiki K.;2016;16+;8,3;65;Tem;Não tem;Não tem;Não tem
The Innocence Files;2020;18+;8;65;Tem;Não tem;Não tem;Não tem
BNA;2020;16+;7,2;65;Tem;Não tem;Não tem;Não tem
The Mist;2017;16+;5,4;65;Tem;Não tem;Não tem;Não tem
Halston;2021;18+;7,5;65;Tem;Não tem;Tem;Não tem
Shaun the Sheep;2007;0;8,2;65;Tem;Não tem;Tem;Não tem
The Universe;2007;16+;8,7;65;Tem;Não tem;Tem;Não tem
Self Made: Inspired by the Life of Madam C.J. Walker;2020;18+;7,3;65;Tem;Não tem;Não tem;Não tem
Shtisel;2013;16+;8,6;65;Tem;Não tem;Não tem;Não tem
The Boss Baby: Back in Business;2018;7+;6,5;65;Tem;Não tem;Não tem;Não tem
Puella Magi Madoka Magica;2011;16+;8,3;65;Tem;Tem;Não tem;Não tem
Sinatra: All or Nothing at All;2015;7+;8;65;Tem;Não tem;Não tem;Não tem
Comedians in Cars Getting Coffee;2012;16+;8,1;65;Tem;Não tem;Não tem;Não tem
Senora Acero;2014;16+;7,1;65;Tem;Tem;Não tem;Não tem
Dark Tourist;2018;18+;7,5;65;Tem;Não tem;Não tem;Não tem
Criminal: UK;2019;18+;7,6;65;Tem;Não tem;Não tem;Não tem
The Bureau of Magical Things;2018;7+;6,7;65;Tem;Não tem;Não tem;Não tem
Cleverman;2016;16+;6,4;65;Tem;Não tem;Não tem;Não tem
The Innocent Man;2018;18+;7,3;65;Tem;Não tem;Não tem;Não tem
Norsemen;2016;18+;7,8;65;Tem;Não tem;Não tem;Não tem
Pawn Stars;2009;7+;7,2;65;Tem;Tem;Tem;Não tem
Inside Bill's Brain: Decoding Bill Gates;2019;16+;7,9;65;Tem;Não tem;Não tem;Não tem
Damnation;2017;18+;7,7;65;Tem;Não tem;Não tem;Não tem
From Dusk Till Dawn: The Series;2014;18+;6,9;64;Tem;Não tem;Não tem;Não tem
Lovesick;2014;18+;8,1;64;Tem;Não tem;Não tem;Não tem
Flint Town;2018;18+;7,9;64;Tem;Não tem;Não tem;Não tem
Watership Down;2018;7+;7,2;64;Tem;Não tem;Não tem;Não tem
Undercover;2019;18+;7,8;64;Tem;Não tem;Tem;Não tem
Rita;2012;16+;8,1;64;Tem;Não tem;Não tem;Não tem
Dorohedoro;2020;18+;8,2;64;Tem;Não tem;Não tem;Não tem
Maid Sama!;2010;16+;8;64;Tem;Tem;Não tem;Não tem
Mystery Science Theater 3000: The Return;2017;16+;8;64;Tem;Não tem;Não tem;Não tem
Is It Wrong to Try to Pick Up Girls in a Dungeon?;2015;16+;7,4;64;Tem;Tem;Não tem;Não tem
Surviving R. Kelly;2019;18+;7,5;64;Tem;Não tem;Não tem;Não tem
Saint Seiya;1986;7+;8,5;64;Tem;Não tem;Tem;Não tem
Flaked;2016;18+;7,2;64;Tem;Não tem;Não tem;Não tem
Fate/Zero;2011;18+;8,3;64;Tem;Não tem;Não tem;Não tem
Crazyhead;2016;16+;7,3;64;Tem;Não tem;Não tem;Não tem
The Five;2016;7+;7,6;64;Tem;Não tem;Não tem;Não tem
H2O: Just Add Water;2006;0;7,2;64;Tem;Tem;Não tem;Não tem
Requiem;2018;18+;6,5;64;Tem;Não tem;Não tem;Não tem
The Valhalla Murders;2019;18+;7,1;64;Tem;Não tem;Não tem;Não tem
Cardcaptor Sakura;1998;7+;8;64;Tem;Não tem;Não tem;Não tem
Black Earth Rising;2018;16+;7,5;64;Tem;Não tem;Não tem;Não tem
W/ Bob & David;2015;18+;7,4;64;Tem;Não tem;Não tem;Não tem
The Trials of Gabriel Fernandez;2020;18+;8,1;64;Tem;Não tem;Não tem;Não tem
She's Gotta Have It;2017;18+;6,8;64;Tem;Não tem;Não tem;Não tem
Save Me;2018;16+;7,7;64;Tem;Não tem;Não tem;Não tem
The Curse of Oak Island;2014;7+;7;64;Tem;Tem;Não tem;Não tem
Black;2017;16+;8;63;Tem;Não tem;Não tem;Não tem
Ajin;2016;18+;7,6;63;Tem;Não tem;Não tem;Não tem
Ink Master;2012;16+;7,4;63;Tem;Não tem;Não tem;Não tem
Goosebumps;1995;0;7,7;63;Tem;Não tem;Não tem;Não tem
Vampire Knight;2008;16+;7,4;63;Tem;Tem;Não tem;Não tem
Angel Beats!;2010;16+;7,7;63;Tem;Não tem;Não tem;Não tem
Green Eggs and Ham;2019;7+;8,2;63;Tem;Não tem;Não tem;Não tem
The Hollow;2018;7+;7,2;63;Tem;Não tem;Não tem;Não tem
Dogs;2018;0;8,1;63;Tem;Não tem;Não tem;Não tem
November 13: Attack on Paris;2018;18+;8,3;63;Tem;Não tem;Não tem;Não tem
It's Bruno!;2019;7+;7,5;63;Tem;Não tem;Não tem;Não tem
Wanted;2016;16+;7,7;63;Tem;Não tem;Não tem;Não tem
Masum;2017;16+;8,4;63;Tem;Não tem;Não tem;Não tem
Cable Girls;2017;18+;7,6;63;Tem;Não tem;Não tem;Não tem
Lady Dynamite;2016;16+;7,4;63;Tem;Não tem;Não tem;Não tem
Power Rangers;1993;7+;6,5;63;Tem;Não tem;Tem;Não tem
The Mire;2018;18+;6,9;63;Tem;Não tem;Não tem;Não tem
Tabula Rasa;2017;18+;8;63;Tem;Não tem;Não tem;Não tem
Clannad;2007;7+;7,9;63;Tem;Tem;Não tem;Não tem
Ugly Delicious;2018;18+;7,8;63;Tem;Não tem;Não tem;Não tem
Fate/stay night [Unlimited Blade Works];2014;18+;8;63;Tem;Tem;Não tem;Não tem
Man with a Plan;2016;7+;7;63;Tem;Não tem;Não tem;Não tem
Rilakkuma and Kaoru;2019;7+;8,3;63;Tem;Não tem;Não tem;Não tem
World War II In HD Colour;2009;7+;8,7;63;Tem;Não tem;Não tem;Não tem
Boys Over Flowers;2009;16+;7,9;63;Tem;Tem;Não tem;Não tem
Meteor Garden;2018;16+;8,1;63;Tem;Não tem;Não tem;Não tem
What's New, Scooby-Doo?;2002;7+;7,3;63;Tem;Não tem;Não tem;Não tem
Sick Note;2017;18+;6,8;63;Tem;Não tem;Não tem;Não tem
Big Time Rush;2009;0;6,4;63;Tem;Tem;Tem;Não tem
Girlboss;2017;18+;7;63;Tem;Não tem;Não tem;Não tem
Quicksand;2019;18+;7,5;63;Tem;Não tem;Não tem;Não tem
Rotten;2018;18+;7,2;63;Tem;Não tem;Não tem;Não tem
The Irregulars;2021;18+;5,9;63;Tem;Não tem;Não tem;Não tem
College Romance;2018;18+;8,8;63;Tem;Não tem;Não tem;Não tem
Elite Short Stories: Carla Samuel;2021;18+;7;63;Tem;Não tem;Não tem;Não tem
Bard of Blood;2019;18+;6,9;63;Tem;Não tem;Não tem;Não tem
Charmed;2018;16+;4,6;62;Tem;Não tem;Não tem;Não tem
The New Legends of Monkey;2018;7+;6,5;62;Tem;Não tem;Não tem;Não tem
The Mind, Explained;2019;16+;8;62;Tem;Não tem;Não tem;Não tem
Fast & Furious Spy Racers;2019;7+;5,5;62;Tem;Não tem;Não tem;Não tem
Occupied;2015;16+;7,7;62;Tem;Não tem;Não tem;Não tem
The Magic School Bus;1994;0;7,8;62;Tem;Não tem;Não tem;Não tem
Toast of London;2013;16+;8,2;62;Tem;Não tem;Não tem;Não tem
Patriot Act with Hasan Minhaj;2018;18+;8,3;62;Tem;Não tem;Não tem;Não tem
Greatest Events of World War II in Colour;2019;16+;8,7;62;Tem;Não tem;Não tem;Não tem
Offspring;2010;16+;8,3;62;Tem;Não tem;Não tem;Não tem
Blown Away;2019;7+;7,1;62;Tem;Não tem;Não tem;Não tem
60 Days In;2016;16+;7,7;62;Tem;Tem;Tem;Não tem
Trese;2021;18+;7,1;62;Tem;Não tem;Não tem;Não tem
Hot Girls Wanted: Turned On;2017;18+;6,6;62;Tem;Não tem;Não tem;Não tem
The Heirs;2013;16+;7,5;62;Tem;Não tem;Não tem;Não tem
The Curious Creations of Christine McConnell;2018;7+;7,8;62;Tem;Não tem;Não tem;Não tem
Alexa & Katie;2018;0;7,5;62;Tem;Não tem;Não tem;Não tem
Sailor Moon Crystal;2014;16+;8;62;Tem;Tem;Não tem;Não tem
La Reina del Sur;2011;18+;8;62;Tem;Não tem;Não tem;Não tem
Pine Gap;2018;16+;7,2;62;Tem;Não tem;Não tem;Não tem
Suburra: Blood on Rome;2017;18+;7,9;62;Tem;Não tem;Não tem;Não tem
Taco Chronicles;2019;18+;7,9;62;Tem;Não tem;Não tem;Não tem
She;2020;18+;6,5;62;Tem;Não tem;Não tem;Não tem
Between;2015;16+;6;62;Tem;Não tem;Não tem;Não tem
Velvet;2014;16+;8,1;62;Tem;Não tem;Não tem;Não tem
Bobby Kennedy for President;2018;16+;8,2;62;Tem;Não tem;Não tem;Não tem
Durarara!!;2010;16+;7,9;62;Tem;Tem;Não tem;Não tem
Hostages;2013;16+;6,7;62;Tem;Não tem;Não tem;Não tem
Rhythm + Flow;2019;18+;7,7;62;Tem;Não tem;Não tem;Não tem
Blue Exorcist;2011;16+;7,4;62;Tem;Tem;Não tem;Não tem
L.A.'s Finest;2019;16+;6;62;Tem;Não tem;Não tem;Não tem
Thomas & Friends;1984;0;6,6;62;Tem;Não tem;Tem;Não tem
The Protector;2018;18+;6,7;61;Tem;Não tem;Não tem;Não tem
Unsolved Mysteries;1987;7+;8,2;61;Tem;Tem;Tem;Não tem
Too Hot to Handle;2020;18+;4,6;61;Tem;Não tem;Não tem;Não tem
Are You The One?;2014;16+;6,5;61;Tem;Tem;Não tem;Não tem
Little Things;2016;18+;8,3;61;Tem;Não tem;Não tem;Não tem
Still Game;2002;16+;8,8;61;Tem;Não tem;Não tem;Não tem
Transformers: Prime;2010;7+;7,9;61;Tem;Não tem;Não tem;Não tem
Henry Danger;2014;0;5,7;61;Tem;Não tem;Não tem;Não tem
Tidying Up with Marie Kondo;2019;7+;6,6;61;Tem;Não tem;Não tem;Não tem
Nightflyers;2018;18+;5,9;61;Tem;Não tem;Não tem;Não tem
Love 101;2020;18+;7,5;61;Tem;Não tem;Não tem;Não tem
Car Masters: Rust to Riches;2018;7+;8,8;61;Tem;Não tem;Não tem;Não tem
WHAT / IF;2019;18+;6,3;61;Tem;Não tem;Não tem;Não tem
Total Drama Island;2007;7+;7,2;61;Tem;Não tem;Não tem;Não tem
Roman Empire;2016;16+;7;61;Tem;Não tem;Não tem;Não tem
Deadwind;2018;18+;7,2;61;Tem;Não tem;Não tem;Não tem
People Just Do Nothing;2014;18+;8,5;61;Tem;Não tem;Não tem;Não tem
B: The Beginning;2018;18+;7,2;61;Tem;Não tem;Não tem;Não tem
Somebody Feed Phil;2018;16+;8,2;61;Tem;Não tem;Não tem;Não tem
Girl from Nowhere;2018;18+;7,7;61;Tem;Não tem;Não tem;Não tem
Cocaine Coast;2018;18+;7,9;61;Tem;Não tem;Não tem;Não tem
The Liberator;2020;7+;7,6;61;Tem;Não tem;Não tem;Não tem
The Irregular at Magic High School;2014;16+;7,2;61;Tem;Não tem;Não tem;Não tem
Hap and Leonard;2016;18+;7,7;61;Tem;Não tem;Não tem;Não tem
Dark Desire;2020;18+;6,5;61;Tem;Não tem;Não tem;Não tem
Seis Manos;2019;18+;7,2;61;Tem;Não tem;Não tem;Não tem
Control Z;2020;18+;6,9;61;Tem;Não tem;Não tem;Não tem
The House of Flowers;2018;18+;7,6;61;Tem;Não tem;Não tem;Não tem
America's Next Top Model;2003;7+;5,5;61;Tem;Tem;Tem;Não tem
Tribes of Europa;2021;18+;6,8;61;Tem;Não tem;Não tem;Não tem
Somos.;2021;18+;7,2;61;Tem;Não tem;Não tem;Não tem
The Great Heist;2020;18+;7,3;61;Tem;Não tem;Não tem;Não tem
The One;2021;18+;6,6;61;Tem;Não tem;Não tem;Não tem
Carmen Sandiego;2019;7+;7,9;61;Tem;Não tem;Não tem;Não tem
The Chef Show;2019;18+;8,2;61;Tem;Não tem;Não tem;Não tem
Traitors;2019;18+;6,6;61;Tem;Não tem;Não tem;Não tem
Wet Hot American Summer: Ten Years Later;2017;16+;6,9;61;Tem;Não tem;Não tem;Não tem
The Neighbor;2019;18+;6,6;60;Tem;Não tem;Não tem;Não tem
Billy on the Street;2011;16+;7,8;60;Tem;Tem;Não tem;Não tem
October Faction;2020;18+;6,2;60;Tem;Não tem;Não tem;Não tem
Start-Up;2020;16+;8,1;60;Tem;Não tem;Não tem;Não tem
Night on Earth;2020;7+;8,2;60;Tem;Não tem;Não tem;Não tem
DOTA: Dragon's Blood;2021;18+;8;60;Tem;Não tem;Não tem;Não tem
The Break;2016;18+;7,6;60;Tem;Não tem;Não tem;Não tem
The Letter for the King;2020;7+;5,9;60;Tem;Não tem;Não tem;Não tem
Osmosis;2019;16+;5,9;60;Tem;Não tem;Não tem;Não tem
Another Life;2019;18+;5;60;Tem;Não tem;Não tem;Não tem
Ju-On: Origins;2020;18+;6,1;60;Tem;Não tem;Não tem;Não tem
Diagnosis;2019;18+;7,7;60;Tem;Não tem;Não tem;Não tem
The Eddy;2020;18+;7,2;60;Tem;Não tem;Não tem;Não tem
Magi;2012;16+;7,8;60;Tem;Tem;Não tem;Não tem
Elite Short Stories: GuzmÃ¡n Caye Rebe;2021;18+;7,5;60;Tem;Não tem;Não tem;Não tem
Memories of the Alhambra;2018;16+;7,8;60;Tem;Não tem;Não tem;Não tem
Pacific Rim: The Black;2021;16+;7,1;60;Tem;Não tem;Não tem;Não tem
V Wars;2019;18+;6,1;60;Tem;Não tem;Não tem;Não tem
The Windsors;2016;18+;7,1;60;Tem;Não tem;Não tem;Não tem
The Sons of Sam: A Descent Into Darkness;2021;18+;7;60;Tem;Não tem;Não tem;Não tem
Sunderland 'Til I Die;2018;18+;8,1;60;Tem;Não tem;Não tem;Não tem
Rebellion;2016;16+;7,2;60;Tem;Não tem;Não tem;Não tem
The A List;2018;7+;5,5;60;Tem;Não tem;Não tem;Não tem
Tales of the City;2019;16+;7,4;60;Tem;Não tem;Não tem;Não tem
Disjointed;2017;18+;6,8;60;Tem;Não tem;Não tem;Não tem
Gentefied;2020;16+;7,4;60;Tem;Não tem;Não tem;Não tem
Wanderlust;2018;16+;7,1;60;Tem;Não tem;Não tem;Não tem
Murder Among the Mormons;2021;16+;7;60;Tem;Não tem;Não tem;Não tem
Home for Christmas;2019;18+;7,7;60;Tem;Não tem;Não tem;Não tem
Paradise PD;2018;18+;6,9;60;Tem;Não tem;Não tem;Não tem
The Bachelorette;2003;16+;3,4;60;Tem;Tem;Não tem;Não tem
Cold Case Files;1999;18+;8,1;60;Tem;Tem;Tem;Não tem
Little Witch Academia;2017;7+;7,9;60;Tem;Não tem;Não tem;Não tem
El marginal;2016;18+;8,2;60;Tem;Não tem;Não tem;Não tem
Teasing Master Takagi-san;2018;7+;7,7;60;Tem;Não tem;Não tem;Não tem
Kakegurui;2017;16+;7,2;60;Tem;Não tem;Não tem;Não tem
Attenborough's Life in Colour;2021;7+;8,3;60;Tem;Não tem;Não tem;Não tem
Mortel;2019;18+;6,6;60;Tem;Não tem;Não tem;Não tem
Kath & Kim;2002;7+;8,3;60;Tem;Não tem;Não tem;Não tem
CharitÃ©;2017;7+;7,9;59;Tem;Não tem;Não tem;Não tem
Hoarders;2009;7+;6,4;59;Tem;Tem;Não tem;Não tem
Unsolved: The Murders of Tupac and The Notorious B.I.G.;2018;18+;7,9;59;Tem;Não tem;Não tem;Não tem
My Next Guest Needs No Introduction With David Letterman;2018;18+;7,9;59;Tem;Não tem;Não tem;Não tem
Record of Ragnarok;2021;18+;6,2;59;Tem;Não tem;Não tem;Não tem
White Lines;2020;18+;6,6;59;Tem;Não tem;Não tem;Não tem
Luis Miguel: The Series;2018;16+;8;59;Tem;Não tem;Não tem;Não tem
Love, Chunibyo & Other Delusions;2012;16+;7,4;59;Tem;Não tem;Não tem;Não tem
Kabaneri of the Iron Fortress;2016;18+;7,2;59;Tem;Não tem;Não tem;Não tem
Sister, Sister;1994;7+;6,3;59;Tem;Tem;Não tem;Não tem
Greenhouse Academy;2017;7+;6,9;59;Tem;Não tem;Não tem;Não tem
Mr. Iglesias;2019;16+;7,1;59;Tem;Não tem;Não tem;Não tem
Hip Hop Evolution;2016;16+;8,4;59;Tem;Não tem;Não tem;Não tem
The Game;2006;16+;6,7;59;Tem;Tem;Tem;Não tem
Love on the Spectrum;2019;0;8,5;59;Tem;Não tem;Não tem;Não tem
Greenleaf;2016;18+;7,4;59;Tem;Não tem;Não tem;Não tem
The Final Table;2018;0;7,7;59;Tem;Não tem;Não tem;Não tem
Life Sentence;2018;16+;6,6;59;Tem;Não tem;Não tem;Não tem
Dogs of Berlin;2018;16+;7,6;59;Tem;Não tem;Não tem;Não tem
Yasuke;2021;18+;6,2;59;Tem;Não tem;Não tem;Não tem
Playing with Fire;2019;18+;5,9;59;Tem;Tem;Não tem;Não tem
Hello, My Twenties!;2016;16+;8,3;59;Tem;Não tem;Não tem;Não tem
Sam & Cat;2013;7+;5,7;59;Tem;Não tem;Não tem;Não tem
Girls from Ipanema;2019;16+;7,9;59;Tem;Não tem;Não tem;Não tem
Elite Short Stories: Omar Ander Alexis;2021;18+;7,4;59;Tem;Não tem;Não tem;Não tem
MEGALOBOX;2018;16+;7,8;59;Tem;Tem;Não tem;Não tem
K-ON!;2009;16+;7,7;59;Tem;Tem;Não tem;Não tem
The Family;2019;16+;6,4;59;Tem;Não tem;Não tem;Não tem
The Good Cop;2018;16+;7,1;58;Tem;Não tem;Não tem;Não tem
This is a Robbery: The World's Biggest Art Heist;2021;18+;6,4;58;Tem;Não tem;Não tem;Não tem
Chambers;2019;16+;6,5;58;Tem;Não tem;Não tem;Não tem
Selena: The Series;2020;7+;6,8;58;Tem;Não tem;Não tem;Não tem
BAKI;2018;18+;6,7;58;Tem;Não tem;Não tem;Não tem
Cells at Work!;2018;16+;7,6;58;Tem;Não tem;Não tem;Não tem
Reckoning;2019;18+;6,6;58;Tem;Não tem;Não tem;Não tem
Queen Sono;2020;18+;5,9;58;Tem;Não tem;Não tem;Não tem
WWII in HD;2009;18+;8,7;58;Tem;Não tem;Não tem;Não tem
I Am a Killer;2018;18+;7,4;58;Tem;Não tem;Não tem;Não tem
One of Us;2016;18+;7;58;Tem;Não tem;Não tem;Não tem
Cuckoo;2012;16+;7,2;58;Tem;Não tem;Não tem;Não tem
March Comes in Like a Lion;2016;7+;8,4;58;Tem;Não tem;Não tem;Não tem
BÃ¶rÃ¼;2018;18+;8,2;58;Tem;Não tem;Não tem;Não tem
Elize Matsunaga: Once Upon a Crime;2021;18+;5,8;58;Tem;Não tem;Não tem;Não tem
Invisible City;2021;0;7,4;58;Tem;Não tem;Não tem;Não tem
High Seas;2019;16+;6,8;58;Tem;Não tem;Não tem;Não tem
Man Down;2013;18+;7,6;58;Tem;Não tem;Não tem;Não tem
Degrassi: Next Class;2016;7+;6,9;58;Tem;Não tem;Não tem;Não tem
The Woods;2020;18+;6,5;58;Tem;Não tem;Não tem;Não tem
Godzilla Singular Point;2021;16+;6,6;58;Tem;Não tem;Não tem;Não tem
My Babysitter's a Vampire;2011;7+;7,1;58;Tem;Não tem;Não tem;Não tem
Typewriter;2019;18+;6,5;57;Tem;Não tem;Não tem;Não tem
Sonic X;2003;16+;6,2;57;Tem;Tem;Tem;Não tem
Monthly Girls' Nozaki-kun;2014;7+;7,6;57;Tem;Não tem;Não tem;Não tem
History of Swear Words;2021;18+;6,4;57;Tem;Não tem;Não tem;Não tem
Dolly Parton's Heartstrings;2019;16+;7,6;57;Tem;Não tem;Não tem;Não tem
Last Chance U: Basketball;2021;18+;8,4;57;Tem;Não tem;Não tem;Não tem
The Next Step;2013;0;6,2;57;Tem;Não tem;Não tem;Não tem
Midnight Diner: Tokyo Stories;2016;16+;8,4;57;Tem;Não tem;Não tem;Não tem
Immigration Nation;2020;16+;7,4;57;Tem;Não tem;Não tem;Não tem
The Barrier;2020;16+;6,8;57;Tem;Não tem;Não tem;Não tem
Cannon Busters;2019;18+;6,8;57;Tem;Não tem;Não tem;Não tem
Something in the Rain;2018;7+;8,1;57;Tem;Não tem;Não tem;Não tem
Haters Back Off;2016;7+;6;57;Tem;Não tem;Não tem;Não tem
Young Wallander;2020;18+;6,8;57;Tem;Não tem;Não tem;Não tem
Toy Boy;2019;18+;6,4;57;Tem;Não tem;Não tem;Não tem
Jack Whitehall: Travels with My Father;2017;18+;7,7;57;Tem;Não tem;Não tem;Não tem
Sofia the First;2013;0;6,9;57;Tem;Não tem;Não tem;Não tem
The Joel McHale Show with Joel McHale;2018;18+;7,2;57;Tem;Não tem;Não tem;Não tem
America's Book of Secrets;2012;7+;6,8;57;Tem;Tem;Não tem;Não tem
Kiss Me First;2018;18+;6,3;57;Tem;Não tem;Não tem;Não tem
A Very Secret Service;2015;18+;7,8;57;Tem;Não tem;Não tem;Não tem
Scissor Seven;2018;7+;8,3;57;Tem;Não tem;Não tem;Não tem
Summertime;2020;18+;5,5;57;Tem;Tem;Não tem;Não tem
The K2;2016;16+;7,8;57;Tem;Não tem;Não tem;Não tem
The King's Avatar;2017;7+;7,7;57;Tem;Não tem;Não tem;Não tem
The Twelve;2019;16+;7,5;57;Tem;Não tem;Não tem;Não tem
Vanished 46;2016;16+;8,4;57;Tem;Não tem;Não tem;Não tem
Valor;2017;16+;6;57;Tem;Não tem;Não tem;Não tem
Northern Rescue;2019;16+;7,1;57;Tem;Não tem;Não tem;Não tem
Equinox;2020;18+;6,1;57;Tem;Não tem;Não tem;Não tem
Oggy and the Cockroaches;1999;0;7,3;57;Tem;Não tem;Não tem;Não tem
Code Lyoko;2003;7+;7,3;57;Tem;Não tem;Não tem;Não tem
Champions;2018;16+;6,1;57;Tem;Tem;Não tem;Não tem
Winx Club;2004;0;6,2;57;Tem;Não tem;Não tem;Não tem
Dragons: Race to the Edge;2015;7+;8,3;57;Tem;Não tem;Não tem;Não tem
Vexed;2010;7+;7,3;56;Tem;Não tem;Não tem;Não tem
Family Business;2019;16+;7,4;56;Tem;Não tem;Não tem;Não tem
BUNK'D;2015;0;5,4;56;Tem;Não tem;Não tem;Não tem
Cathedral of the Sea;2018;16+;7,5;56;Tem;Não tem;Não tem;Não tem
History 101;2020;7+;6,8;56;Tem;Não tem;Não tem;Não tem
Cooked;2016;7+;8,1;56;Tem;Não tem;Não tem;Não tem
Monarca;2019;18+;7,9;56;Tem;Não tem;Não tem;Não tem
Indian Matchmaking;2020;16+;6,2;56;Tem;Não tem;Não tem;Não tem
Perfume;2018;18+;7,1;56;Tem;Não tem;Não tem;Não tem
Avlu;2018;18+;7,2;56;Tem;Não tem;Não tem;Não tem
Wild District;2018;18+;8,3;56;Tem;Não tem;Não tem;Não tem
Magic for Humans;2018;16+;7,2;56;Tem;Não tem;Não tem;Não tem
50M2;2021;18+;7;56;Tem;Não tem;Não tem;Não tem
Mako Mermaids: An H2O Adventure;2013;0;6,8;56;Tem;Não tem;Não tem;Não tem
Extracurricular;2020;18+;7,7;56;Tem;Não tem;Não tem;Não tem
Tunnel;2017;16+;8,3;56;Tem;Não tem;Não tem;Não tem
Marseille;2016;18+;6,9;56;Tem;Não tem;Não tem;Não tem
Elite Short Stories: Nadia GuzmÃ¡n;2021;18+;6,4;56;Tem;Não tem;Não tem;Não tem
The Rise of Phoenixes;2018;7+;8,6;56;Tem;Não tem;Não tem;Não tem
Wakfu;2008;7+;8,2;56;Tem;Não tem;Não tem;Não tem
How to Fix a Drug Scandal;2020;18+;7;56;Tem;Não tem;Não tem;Não tem
Betaal;2020;18+;5,4;56;Tem;Não tem;Não tem;Não tem
Sin Senos SÃ­ Hay ParaÃ­so;2016;16+;6,7;56;Tem;Não tem;Não tem;Não tem
