Title;Year;Age;IMDb;Rotten Tomatoes;Netflix;Hulu;Prime Video;Disney+
Shadow and Bone;2021;16+;7,7;82;Tem;Não tem;Não tem;Não tem
Castlevania;2017;18+;8,3;82;Tem;Não tem;Não tem;Não tem
Star Trek;1966;7+;8,3;82;Tem;Tem;Tem;Não tem
The Kominsky Method;2018;18+;8,2;82;Tem;Não tem;Não tem;Não tem
Hunter x Hunter;2011;16+;9;82;Tem;Tem;Não tem;Não tem
Dead to Me;2019;18+;8;82;Tem;Não tem;Não tem;Não tem
The Haunting of Hill House;2018;18+;8,6;82;Tem;Não tem;Não tem;Não tem
Russian Doll;2019;18+;7,9;82;Tem;Não tem;Não tem;Não tem
Kingdom;2019;18+;8,4;82;Tem;Tem;Não tem;Não tem
Neon Genesis Evangelion;1995;16+;8,5;82;Tem;Não tem;Não tem;Não tem
Naruto;2002;7+;8,3;81;Tem;Tem;Não tem;Não tem
NCIS;2003;16+;7,7;81;Tem;Não tem;Não tem;Não tem
Manifest;2018;16+;7,2;81;Tem;Tem;Não tem;Não tem
Halt and Catch Fire;2014;16+;8,4;81;Tem;Não tem;Não tem;Não tem
Monty Python's Flying Circus;1969;16+;8,8;81;Tem;Não tem;Não tem;Não tem
After Life;2019;18+;8,4;81;Tem;Não tem;Não tem;Não tem
Riverdale;2017;16+;6,8;81;Tem;Tem;Não tem;Não tem
Big Mouth;2017;18+;7,9;81;Tem;Não tem;Não tem;Não tem
I Think You Should Leave with Tim Robinson;2019;18+;7,8;81;Tem;Não tem;Não tem;Não tem
Derry Girls;2018;16+;8,4;81;Tem;Não tem;Não tem;Não tem
The Promised Neverland;2019;18+;8,5;81;Tem;Tem;Não tem;Não tem
Lost in Space;2018;7+;7,3;80;Tem;Tem;Não tem;Não tem
Star Trek: Deep Space Nine;1993;7+;8;80;Tem;Tem;Tem;Não tem
Jane the Virgin;2014;16+;7,8;80;Tem;Não tem;Não tem;Não tem
Godless;2017;18+;8,3;80;Tem;Não tem;Não tem;Não tem
The OA;2016;18+;7,8;80;Tem;Não tem;Não tem;Não tem
DC's Legends of Tomorrow;2016;16+;6,8;80;Tem;Não tem;Não tem;Não tem
Sacred Games;2018;18+;8,6;80;Tem;Não tem;Não tem;Não tem
iZombie;2015;16+;7,8;80;Tem;Não tem;Não tem;Não tem
Longmire;2012;16+;8,3;80;Tem;Não tem;Não tem;Não tem
Happy Endings;2011;16+;7,7;80;Tem;Tem;Não tem;Não tem
Into the Badlands;2015;16+;8;80;Tem;Não tem;Não tem;Não tem
The Originals;2013;16+;8,2;80;Tem;Não tem;Não tem;Não tem
Anne with an E;2017;0;8,7;80;Tem;Não tem;Não tem;Não tem
Grace and Frankie;2015;18+;8,3;80;Tem;Não tem;Não tem;Não tem
Chilling Adventures of Sabrina;2018;16+;7,5;80;Tem;Não tem;Não tem;Não tem
Queen of the South;2016;16+;8;79;Tem;Não tem;Não tem;Não tem
A Series of Unfortunate Events;2017;7+;7,8;79;Tem;Não tem;Não tem;Não tem
Unorthodox;2020;18+;8;79;Tem;Não tem;Não tem;Não tem
Stargate SG-1;1997;13+;8,4;79;Tem;Tem;Não tem;Não tem
Outer Banks;2020;18+;7,6;79;Tem;Não tem;Não tem;Não tem
13 Reasons Why;2017;18+;7,6;79;Tem;Não tem;Não tem;Não tem
Unbreakable Kimmy Schmidt;2015;16+;7,6;79;Tem;Não tem;Não tem;Não tem
Marvel's Luke Cage;2016;18+;7,3;79;Tem;Não tem;Não tem;Não tem
GLOW;2017;18+;8;79;Tem;Não tem;Não tem;Não tem
Borgen;2010;18+;8,5;79;Tem;Não tem;Não tem;Não tem
The 4400;2004;7+;7,3;79;Tem;Não tem;Não tem;Não tem
Alias Grace;2017;18+;7,7;79;Tem;Não tem;Não tem;Não tem
All American;2018;16+;7,7;79;Tem;Não tem;Não tem;Não tem
Santa Clarita Diet;2017;18+;7,8;79;Tem;Não tem;Não tem;Não tem
Reign;2013;16+;7,5;78;Tem;Não tem;Não tem;Não tem
Maniac;2018;18+;7,8;78;Tem;Não tem;Não tem;Não tem
Dark Matter;2015;18+;7,5;78;Tem;Não tem;Tem;Não tem
Star Trek: Voyager;1995;7+;7,8;78;Tem;Tem;Tem;Não tem
Tiger King: Murder, Mayhem and Madness;2020;18+;7,6;78;Tem;Não tem;Não tem;Não tem
Call the Midwife;2012;16+;8,4;78;Tem;Não tem;Não tem;Não tem
Queer Eye;2018;16+;8,5;78;Tem;Não tem;Não tem;Não tem
American Vandal;2017;16+;8,2;78;Tem;Não tem;Não tem;Não tem
Wynonna Earp;2016;16+;7,5;78;Tem;Não tem;Não tem;Não tem
Marvel's The Defenders;2017;18+;7,3;78;Tem;Não tem;Não tem;Não tem
HAPPY!;2017;18+;8,2;77;Tem;Não tem;Não tem;Não tem
Haikyu!!;2014;16+;8,7;77;Tem;Tem;Não tem;Não tem
Colony;2016;16+;7,4;77;Tem;Não tem;Não tem;Não tem
Heartland;2007;7+;8,4;77;Tem;Não tem;Tem;Não tem
Alone;2015;16+;8,4;77;Tem;Tem;Não tem;Não tem
Marco Polo;2014;18+;8;77;Tem;Não tem;Tem;Não tem
Wild Wild Country;2018;16+;8,1;77;Tem;Não tem;Não tem;Não tem
The Dragon Prince;2018;7+;8,4;77;Tem;Não tem;Não tem;Não tem
Locke & Key;2020;16+;7,4;77;Tem;Não tem;Não tem;Não tem
Love;2016;18+;7,7;77;Tem;Não tem;Não tem;Não tem
One Day at a Time;2017;7+;8,2;77;Tem;Não tem;Não tem;Não tem
Feel Good;2020;18+;7,5;77;Tem;Não tem;Não tem;Não tem
Fauda;2015;16+;8,2;77;Tem;Não tem;Não tem;Não tem
The Dark Crystal: Age of Resistance;2019;7+;8,4;77;Tem;Não tem;Não tem;Não tem
Top Boy;2011;18+;8,4;77;Tem;Não tem;Não tem;Não tem
I Am Not Okay with This;2020;18+;7,5;77;Tem;Não tem;Não tem;Não tem
Supergirl;2015;16+;6,2;77;Tem;Não tem;Não tem;Não tem
The Shannara Chronicles;2016;16+;7,2;77;Tem;Não tem;Não tem;Não tem
